"Keyword","Response"
"cough","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"injury","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"disease","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"sore","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"medical","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"treatment","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"doctor","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"clinic","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"hospital","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"unwell","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"sickly","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"weak","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"tired","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"exhausted","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"upset stomach","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"debilitated","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"ailment","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"wellbeing","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"good health","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"morning","Good morning! How are you doing today? I hope you have a great start to your day!"
"afternoon","Good afternoon! How's your day going so far? Anything exciting happening?"
"evening","Good evening! How was your day? I hope you had a pleasant one."
"hello","Hello! How can I assist you today? Feel free to share or ask about anything on your mind."
"hi","Hi there! What can I do for you today? If you want to chat or need help with something, I'm here."
"hey","Hey! How's it going? If you need anything or just want to talk, I'm here for you."
"goodbye","Goodbye! I hope you have a wonderful day. Take care and see you next time!"
"bye","Bye! Wishing you all the best. Feel free to come back if you need anything else!"
"see you later","See you later! I hope you have a great time until we talk again."
"good night","Good night! Sleep well and have sweet dreams. I'll be here when you wake up!"
"night","Night! Rest well and take care. Looking forward to chatting with you again soon!"
"sleep well","Sleep well! I hope you get a good rest. Take care and talk to you soon!"
"rest well","Rest well! Wishing you a peaceful night and sweet dreams."
"take care","Take care! I hope you have a great rest of your day or night. See you soon!"
"stay safe","Stay safe! Wishing you a good rest and a safe night. See you next time!"
"have a good day","Have a good day! I hope everything goes well for you today."
"have a great day","Have a great day! Enjoy every moment and make the most of it."
"have a nice day","Have a nice day! I hope it's filled with positive experiences and joy."
"enjoy your day","Enjoy your day! I hope it's a pleasant one with lots of good moments."
"good luck","Good luck! I hope everything goes well for you. You’ve got this!"
"best wishes","Best wishes! I hope all your endeavors are successful and rewarding."
"good fortune","Good fortune! May luck be on your side and bring you great outcomes."
"good vibes","Good vibes! I hope your day is filled with positivity and joy."
"thank you","You're welcome! I'm glad I could help. If you need anything else, just let me know."
"thanks","Thanks! I'm here if you need further assistance or just want to chat."
"appreciate it","I appreciate you! If there's more I can do, just ask."
"gratitude","I'm grateful to assist you! Feel free to reach out if you need more help."
"thanks a lot","Thanks a lot! Your feedback means a lot to me. If you have more questions, I'm here."
"thanks a bunch","Thanks a bunch! I'm glad to be of help. Let me know if there's anything else."
"thanks so much","Thanks so much! I'm happy to help you. Don't hesitate to ask if you need more."
"you're great","You're great too! I'm here whenever you need assistance or just want to talk."
"awesome","Awesome! I'm glad you're finding this helpful. Feel free to reach out anytime."
"fantastic","Fantastic! I'm here if you need anything else or just want to chat."
"amazing","Amazing! I'm glad to be of help. Let me know if there's anything more I can do."
"afternoon","Afternoon! How's your day been so far?"
"good day","Good day! How are you feeling this afternoon?"
"hello afternoon","Hello, afternoon! How’s everything going today?"
"afternoon greetings","Greetings this afternoon! How's your day progressing?"
"good afternoon to you","Good afternoon to you too! How is everything going?"
"afternoon delight","Afternoon delight! How's your day shaping up?"
"afternoon sunshine","Afternoon, sunshine! How's your day treating you?"
"midday greetings","Midday greetings! How’s your day going so far?"
"hello good afternoon","Hello and good afternoon! How are you doing?"
"lovely afternoon","Wishing you a lovely afternoon! How is your day going?"
"pleasant afternoon","Pleasant afternoon! How’s everything today?"
"good arvo (informal Australian)","Good arvo! How’s your day been?"
"great afternoon","It’s a great afternoon! How’s everything going for you?"
"happy afternoon","Happy afternoon! How are you feeling today?"
"nice afternoon","It’s a nice afternoon! How’s your day been?"
"bright afternoon","Bright afternoon! How’s everything on your end?"
"warm afternoon","Warm afternoon! How’s the day treating you?"
"peaceful afternoon","Wishing you a peaceful afternoon! How are you doing today?"
"sunny afternoon","It’s a sunny afternoon! How’s everything going with you?"
"beautiful afternoon","Wishing you a beautiful afternoon! How's your day so far?"
"wonderful afternoon","Wonderful afternoon to you! How's everything today?"
"hello there afternoon","Hello there! How’s your afternoon going?"
"good afternoon my friend","Good afternoon, my friend! How are you feeling today?"
"good afternoon buddy","Good afternoon, buddy! How's your day going?"
"afternoon vibes","Feeling those afternoon vibes! How’s your day been?"
"good afternoon everyone","Good afternoon, everyone! How are you all doing?"
"good evening","Good evening. How has your day been?"
"evening","Evening! How are you feeling tonight?"
"hello evening","Hello, evening! How’s your day wrapping up?"
"good evening to you","Good evening to you too! How was your day?"
"evening greetings","Evening greetings! How are you doing tonight?"
"pleasant evening","Pleasant evening! How has your day gone?"
"lovely evening","Wishing you a lovely evening! How are things on your end?"
"wonderful evening","Wonderful evening! How has your day been?"
"beautiful evening","Wishing you a beautiful evening! How was your day?"
"good evening my friend","Good evening, my friend! How has your day treated you?"
"great evening","It’s a great evening! How are you feeling today?"
"happy evening","Happy evening! How was your day?"
"nice evening","It’s a nice evening! How are you doing?"
"quiet evening","Wishing you a quiet evening! How has your day been?"
"relaxing evening","Hope you’re having a relaxing evening! How was your day?"
"peaceful evening","Wishing you a peaceful evening! How are you feeling?"
"calm evening","Wishing you a calm evening! How was your day?"
"chill evening","Hoping you’re having a chill evening! How did your day go?"
"evening vibes","Feeling those evening vibes! How was your day?"
"good evening everyone","Good evening, everyone! How was your day?"
"good night","Good night. Get some proper sleep."
"goodnight","Goodnight. Sweet dreams!"
"good night everyone","Good night, everyone! Rest well."
"night","Good night. Sleep tight."
"good night my friend","Good night, my friend. Hope you have a peaceful sleep."
"sweet dreams","Sweet dreams! Wishing you a restful night."
"sleep well","Sleep well! See you tomorrow."
"have a good night","Have a good night. Don’t forget to rest."
"rest well","Rest well tonight! You deserve it."
"pleasant night","Pleasant night! Hope you wake up refreshed."
"peaceful night","Wishing you a peaceful night. Take care."
"sleep tight","Sleep tight! Dream sweetly."
"good night to you","Good night to you too! See you in the morning."
"good night dear","Good night, dear. Rest and recharge."
"good night all","Good night, all! Sleep well and stay safe."
"good night buddy","Good night, buddy! Catch some Z's."
"night night","Night night! Have a cozy sleep."
"rest easy","Rest easy tonight! Hope tomorrow is great."
"see you tomorrow","Good night! See you tomorrow."
"lights out","Lights out! Time to get some sleep."
"bye","See you later."
"see you later","Have a nice day."
"goodbye","Bye! Come back again."
"au revoir","I'll see you soon."
"sayonara","Take care until next time."
"ok bye","Goodbye! Looking forward to our next chat."
"bye then","Bye then! Don't forget to smile."
"fare thee well","Farewell! Wishing you all the best."
"see ya","See ya! Take care."
"catch you later","Catch you later! Have a good one."
"take care","Take care! Stay safe until next time."
"so long","So long! It's been great talking to you."
"peace out","Peace out! See you around."
"I'm off","I'm off! Have a great day ahead."
"gotta go","Gotta go? No worries, see you next time."
"later","Later! Don't be a stranger."
"until next time","Until next time! Take it easy."
"see you soon","See you soon! Can't wait for our next chat."
"bye for now","Bye for now! Stay well."
"I'm leaving","I'm leaving now. Take care and goodbye!"
"thanks","Happy to help!"
"thank you","Any time!"
"that's helpful","My pleasure."
"thanks for the help","You're most welcome!"
"thank you very much","Glad I could assist!"
"much appreciated","You're welcome!"
"I appreciate it","No problem at all!"
"thanks a lot","Always here for you!"
"many thanks","You're most welcome."
"cheers","Cheers! Anytime you need me."
"gracias","De nada! (You're welcome!)"
"thanks a bunch","You're very welcome!"
"thank you kindly","It was my pleasure to help!"
"thanks so much","I'm glad I could help."
"ta","Ta! Glad to be of assistance."
"thankful for your help","It was no trouble at all."
"grateful","You're welcome! I'm happy to help."
"I owe you one","No worries! Anytime."
"appreciate it","Appreciate it! Happy to help."
"I'm grateful","You're welcome! Glad to be here for you."
"","Sorry, I didn't understand you."
"","Please go on."
"","Not sure I understand that."
"","Please don't hesitate to talk to me."
"\"...\"","I’m here whenever you’re ready to talk."
"\"   \"","It seems like you didn’t say anything. Is everything okay?"
"\"???\"","I’m not sure what you mean. Can you clarify?"
"\"nothing\"","It’s okay if you don’t feel like talking right now."
"\"no response\"","I’m here if you want to say anything."
"\"silent\"","Take your time. I’m here when you’re ready."
"\"......\"","Is something on your mind? I’m here to listen."
"\"---\"","I didn’t quite catch that. Do you want to try again?"
"\"silence\"","It’s okay to take your time. Let me know when you’re ready to chat."
"\"no input\"","I'm here for you, even if you don’t have anything to say right now."
"\" \"","It’s okay if you don’t want to talk right now. Just let me know when you’re ready."
"\"no comment\"","That’s alright. I’m still here if you need me."
"\"not sure\"","It's fine. Just let me know if there's anything on your mind."
"sick","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"ill","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"feeling unwell","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"fever","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"nausea","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit"
"nothing much","Oh I see. Do you want to talk about something?"
"nothing really","Oh I see. Do you want to talk about something?"
"nothing","Oh I see. Do you want to talk about something?"
"not much","Got it. Anything specific you want to discuss?"
"just chilling","Understood. Is there anything you'd like to chat about?"
"same old","I hear you. Want to share more about what's going on?"
"nothing special","Alright. Do you have something on your mind?"
"just hanging out","Okay. Feel free to talk about anything if you'd like."
"not much going on","Got it. If you want to talk, I'm here."
"nothing much happening","I see. Let me know if you want to chat."
"barely anything","Got it. Anything you want to discuss?"
"same old routine","Understood. Anything new you want to talk about?"
"not a lot","I hear you. Feel free to share if you want."
"just another day","Alright. Do you want to talk about anything specific?"
"keeping it low-key","Okay. Anything you want to share?"
"nothing new","Got it. If you want to talk, I'm here."
"same old, same old","I see. Anything on your mind?"
"not too much","Understood. Want to discuss anything in particular?"
"nothing significant","Alright. If you want to chat, let me know."
"same as usual","Got it. Is there anything you'd like to talk about?"
"nothing out of the ordinary","I see. Feel free to share if you want."
"not much to say","Okay. Do you want to talk about anything?"
"just the usual","Got it. Anything specific you want to discuss?"
"not really feeling anything","Understood. If you want to talk, I'm here."
"nothing interesting","Alright. Let me know if you want to chat."
"just going through the motions","I hear you. Anything you'd like to talk about?"
"nothing new or exciting","Got it. If you want to share, I'm here."
"not much happening lately","Understood. Want to discuss anything?"
"nothing noteworthy","I see. If you want to talk, I'm here."
"just another average day","Alright. Anything on your mind?"
"nothing much going on","Got it. If you want to chat, let me know."
"depression?","Depression is a common and serious medical illness that negatively affects how you feel, the way you think and how you act. Fortunately, it is also treatable. Depression causes feelings of sadness and/or a loss of interest in activities you once enjoyed. It can lead to a variety of emotional and physical problems and can decrease your ability to function at work and at home."
"tell me about depression","Depression is a mental health disorder characterized by persistent feelings of sadness and loss of interest in daily activities. It affects how you think, feel, and act, and can have a significant impact on your ability to perform daily tasks. However, depression is treatable with the right support and treatment."
"can you explain depression?","Depression is more than just feeling down. It's a serious medical condition that affects your mood, thoughts, and behavior. It often leads to feelings of hopelessness and a lack of interest in activities once enjoyed. Thankfully, with proper treatment, people with depression can find relief and improve their quality of life."
"define depression","Depression is a mental health condition that involves a persistent feeling of sadness and a lack of interest in activities that used to bring joy. It can cause a range of emotional and physical problems, affecting your daily life and overall functioning. The good news is that there are effective treatments available to help manage depression."
"what do you know about depression?","Depression is a serious mental health issue that causes prolonged feelings of sadness and loss of interest in activities. It can affect your emotions, thoughts, and daily activities, making it challenging to cope with daily life. Effective treatment options are available to help manage and alleviate symptoms."
"Could you help me?","Sure. Tell me how can I assist you"
"Give me a hand please","Tell me your problem so that I can assist you"
"Can you help?","Yes, sure. How can I help you?"
"I need support","Sure. Tell me how can I assist you"
"I need help","Tell me your problem so that I can assist you"
"Support me please","Yes, sure. How can I help you?"
"Help me","Sure. Tell me how can I assist you"
"Can you assist me?","Tell me your problem so that I can assist you"
"I require help","Yes, sure. How can I help you?"
"Need assistance","Sure. Tell me how can I assist you"
"Help needed","Tell me your problem so that I can assist you"
"Assist me please","Yes, sure. How can I help you?"
"Need some help","Sure. Tell me how can I assist you"
"Can I get support?","Tell me your problem so that I can assist you"
"Help me out","Yes, sure. How can I help you?"
"I'm struggling, can you help?","Sure. Tell me how can I assist you"
"Can you lend a hand?","Tell me your problem so that I can assist you"
"I'm in need of assistance","Yes, sure. How can I help you?"
"I need your help","Sure. Tell me how can I assist you"
"Can you support me?","Tell me your problem so that I can assist you"
"Help is needed","Yes, sure. How can I help you?"
"I could use some help","Sure. Tell me how can I assist you"
"Please help me","Tell me your problem so that I can assist you"
"Help requested","Yes, sure. How can I help you?"
"Need help urgently","Sure. Tell me how can I assist you"
"Could you assist me?","Tell me your problem so that I can assist you"
"Help required","Yes, sure. How can I help you?"
"I’m in need of help","Sure. Tell me how can I assist you"
"Assist me","Tell me your problem so that I can assist you"
"Support needed","Yes, sure. How can I help you?"
"Could use assistance","Sure. Tell me how can I assist you"
"Help me please","Tell me your problem so that I can assist you"
"Looking for help","Yes, sure. How can I help you?"
"Need a hand","Sure. Tell me how can I assist you"
"Help me if you can","Tell me your problem so that I can assist you"
"I need someone to help","Yes, sure. How can I help you?"
"Help me with this","Sure. Tell me how can I assist you"
"Can you provide assistance?","Tell me your problem so that I can assist you"
"Looking for support","Yes, sure. How can I help you?"
"Assistance needed","Sure. Tell me how can I assist you"
"Help, please","Tell me your problem so that I can assist you"
"Help is requested","Yes, sure. How can I help you?"
"Could you assist?","Sure. Tell me how can I assist you"
"Help required urgently","Tell me your problem so that I can assist you"
"Help","Tell me your problem so that I can assist you"
"I am feeling lonely","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I am so lonely","I'm here for you. Could you tell me why you're feeling this way?"
"I feel down","Why do you think you feel this way?"
"I feel sad","How long have you been feeling this way?"
"I am sad","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel so lonely","I'm here for you. Could you tell me why you're feeling this way?"
"I feel empty","Why do you think you feel this way?"
"I don't have anyone","How long have you been feeling this way?"
"I'm feeling isolated","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel abandoned","I'm here for you. Could you tell me why you're feeling this way?"
"I feel miserable","Why do you think you feel this way?"
"I'm struggling emotionally","How long have you been feeling this way?"
"I feel heartbroken","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel deserted","I'm here for you. Could you tell me why you're feeling this way?"
"I'm feeling downcast","Why do you think you feel this way?"
"I feel like no one cares","How long have you been feeling this way?"
"I'm feeling blue","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm experiencing sadness","I'm here for you. Could you tell me why you're feeling this way?"
"I feel disconnected","Why do you think you feel this way?"
"I feel like I'm in a dark place","How long have you been feeling this way?"
"I'm feeling desolate","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm feeling forlorn","I'm here for you. Could you tell me why you're feeling this way?"
"I feel like there's a void","Why do you think you feel this way?"
"I'm feeling melancholic","How long have you been feeling this way?"
"I'm feeling low","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel detached","I'm here for you. Could you tell me why you're feeling this way?"
"I'm feeling out of sorts","Why do you think you feel this way?"
"I'm feeling heavy-hearted","How long have you been feeling this way?"
"I am very sad","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"sad","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I am feeling lonely","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I am so lonely","I'm here for you. Could you tell me why you're feeling this way?"
"I feel down","Why do you think you feel this way?"
"I feel sad","How long have you been feeling this way?"
"I am sad","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel so lonely","I'm here for you. Could you tell me why you're feeling this way?"
"I feel empty","Why do you think you feel this way?"
"I don't have anyone","How long have you been feeling this way?"
"I'm feeling isolated","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel abandoned","I'm here for you. Could you tell me why you're feeling this way?"
"I feel miserable","Why do you think you feel this way?"
"I'm struggling emotionally","How long have you been feeling this way?"
"I feel heartbroken","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel deserted","I'm here for you. Could you tell me why you're feeling this way?"
"I'm feeling downcast","Why do you think you feel this way?"
"I feel like no one cares","How long have you been feeling this way?"
"I'm feeling blue","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm experiencing sadness","I'm here for you. Could you tell me why you're feeling this way?"
"I feel disconnected","Why do you think you feel this way?"
"I feel like I'm in a dark place","How long have you been feeling this way?"
"I'm feeling desolate","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm feeling forlorn","I'm here for you. Could you tell me why you're feeling this way?"
"I feel like there's a void","Why do you think you feel this way?"
"I'm feeling melancholic","How long have you been feeling this way?"
"I'm feeling low","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel detached","I'm here for you. Could you tell me why you're feeling this way?"
"I'm feeling out of sorts","Why do you think you feel this way?"
"I'm feeling heavy-hearted","How long have you been feeling this way?"
"I am very sad","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm feeling gloomy","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel hopeless","I'm here for you. Could you tell me why you're feeling this way?"
"I feel downhearted","Why do you think you feel this way?"
"I'm feeling out of place","How long have you been feeling this way?"
"I feel dispirited","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I feel glum","I'm here for you. Could you tell me why you're feeling this way?"
"I'm feeling forlorn","Why do you think you feel this way?"
"I feel like I'm in a rut","How long have you been feeling this way?"
"I'm feeling woeful","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm feeling depressed","I'm here for you. Could you tell me why you're feeling this way?"
"I'm feeling miserable","Why do you think you feel this way?"
"I'm feeling melancholic","How long have you been feeling this way?"
"I'm feeling sorrowful","I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
"I'm feeling downcast","I'm here for you. Could you tell me why you're feeling this way?"
"I feel abandoned","Why do you think you feel this way?"
"I'm feeling bleak","How long have you been feeling this way?"
"I am so stressed out","What do you think is causing this?"
"I am so stressed","Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated."
"I feel stuck","Give yourself a break. Go easy on yourself."
"I still feel stressed","I am sorry to hear that. What is the reason behind this?"
"I am so burned out","What do you think is causing this?"
"I'm feeling overwhelmed","Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated."
"I'm under a lot of pressure","Give yourself a break. Go easy on yourself."
"I can't handle this stress","I am sorry to hear that. What is the reason behind this?"
"I'm feeling anxious","What do you think is causing this?"
"I'm stressed beyond belief","Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated."
"I'm experiencing burnout","Give yourself a break. Go easy on yourself."
"I'm feeling tense","I am sorry to hear that. What is the reason behind this?"
"I'm having a hard time coping","What do you think is causing this?"
"I'm feeling overburdened","Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated."
"I'm struggling with stress","Give yourself a break. Go easy on yourself."
"I'm feeling frazzled","I am sorry to hear that. What is the reason behind this?"
"I'm feeling stressed to the max","What do you think is causing this?"
"I'm overwhelmed with work","Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated."
"I'm feeling pressured","Give yourself a break. Go easy on yourself."
"I'm stressed out of my mind","I am sorry to hear that. What is the reason behind this?"
"I'm feeling overworked","What do you think is causing this?"
"I'm experiencing high stress","Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated."
"I'm feeling stressed and anxious","Give yourself a break. Go easy on yourself."
"I'm dealing with a lot of stress","I am sorry to hear that. What is the reason behind this?"
"I feel so worthless","It's only natural to feel this way. Tell me more. What else is on your mind?"
"No one likes me","Let's discuss further why you're feeling this way."
"I can't do anything","I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change."
"I am so useless","I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change."
"Nothing makes sense anymore","It's only natural to feel this way. Tell me more. What else is on your mind?"
"I feel inadequate","Let's discuss further why you're feeling this way."
"I feel like a failure","I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change."
"I feel like I'm not good enough","I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change."
"I feel like I have no value","It's only natural to feel this way. Tell me more. What else is on your mind?"
"I feel unimportant","Let's discuss further why you're feeling this way."
"I feel like I don't matter","I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change."
"I feel like I can't contribute","I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change."
"I feel like a burden","It's only natural to feel this way. Tell me more. What else is on your mind?"
"I can't take it anymore","It helps to talk about what's happening. You're going to be okay."
"I am so depressed","Talk to me. Tell me more. It helps if you open up yourself to someone else."
"I think I'm depressed","Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
"I have depression","It helps to talk about what's happening. You're going to be okay."
"I feel overwhelmed by sadness","Talk to me. Tell me more. It helps if you open up yourself to someone else."
"I'm struggling with depression","Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
"I feel hopeless","It helps to talk about what's happening. You're going to be okay."
